Country_ISO,Year,DeathRate,Population (GPWv4.11),CO Population-Weighted (ppm),VOCs Population-Weighted (ppm),SO2 Population-Weighted (ppm),NOx Population-Weighted (ppm),O3 Population-Weighted (ppm),PM Pop.-Weighted (kg m^-3),HospitalBeds
SLB,2018,58.84,449312.36,0.057550112,0.018029482,0.000269609,5.33e-05,0.0433787325443826,7.07303e-09,
VUT,2018,58.93,205856.69,0.05613034,0.003528833,0.000766799,0.000166878,0.0502560455337036,8.18552e-09,
TLS,2018,59.15,1240465.85,0.108108572,0.033484905,0.00050105,0.000719855,0.0489649561200789,1.04304e-08,0.42
LBN,2018,58.65,4747322.55,0.308343267,0.010311555,0.036918721,0.034889211,0.0609776752953191,3.95862e-08,2.73
KHM,2018,59.13,16245925.0,0.227631166,0.075093403,0.005210328,0.006999522,0.0509318313027765,2.71971e-08,0.73
AGO,2018,60.18,26840732.77,0.234622889,0.066560272,0.002164288,0.005433376,0.0477316272305844,2.46726e-08,
CPV,2018,60.0,455593.32,0.086728673,0.000925593,0.000524101,0.000362723,0.0626641422494447,3.04529e-08,2.19
MDG,2018,60.22,26125231.11,0.138491911,0.041082327,0.000622584,0.002794496,0.043409610625643,1.11511e-08,0.3225
MAR,2018,60.05,35799279.47,0.181738879,0.017669178,0.016074816,0.014135196,0.06012562248168,1.97723e-08,0.71
BTN,2018,59.99,965672.21,0.466186231,0.051535877,0.005976049,0.010041876,0.0592033781762213,3.71699e-08,1.72
MYS,2018,60.22,29982386.49,0.249812105,0.108463192,0.007897206,0.016246793,0.0546307438889459,2.72654e-08,1.9
DJI,2018,60.76,831138.03,0.141495879,0.005930773,0.002175241,0.003048276,0.0599220431683611,2.92224e-08,1.4
UGA,2018,60.86,43128030.34,0.365420993,0.07322767,0.016411851,0.007133114,0.0473861610908062,3.71855e-08,0.5
LBR,2018,61.14,4492816.18,0.182987694,0.045321557,0.0007923,0.001653654,0.0480895549382715,3.00591e-08,1.64
BIH,2018,60.66,3810803.04,0.152408168,0.017442177,0.01258121,0.007569112,0.0561702873649503,1.26491e-08,2.39
GNQ,2018,61.81,869611.7,0.172943157,0.041450547,0.001821895,0.001143956,0.0465794020318899,2.1743e-08,2.1
MDA,2018,62.49,3948658.07,0.136578675,0.004538722,0.011943671,0.007044921,0.0558457062805809,9.94406e-09,5.75
ALB,2018,61.54,2828460.34,0.139311993,0.009845461,0.0065626,0.007386957,0.0605773051506406,1.25583e-08,2.83
RWA,2018,62.5,12376840.44,0.549030147,0.049335761,0.122814993,0.013542145,0.0460586386135879,6.97555e-08,0.73
MRT,2018,64.11,4267562.87,0.112505099,0.021301212,0.001285716,0.002002222,0.0539570457778618,8.04096e-08,
SWZ,2018,65.39,1304927.47,0.244889717,0.041480001,0.007925659,0.010896381,0.0475115571157521,2.51397e-08,2.02
MOZ,2018,65.74,30058186.79,0.144771785,0.042161383,0.000810535,0.002763644,0.0441293824698919,1.57592e-08,0.77
SOM,2018,65.84,11661028.71,0.088517632,0.032331644,0.000332994,0.000364431,0.0482471330299263,1.30556e-08,0.87
LAO,2018,66.26,7135150.43,0.339147028,0.115718316,0.004248018,0.0065547,0.0512797503165076,3.10073e-08,1.46
COG,2018,67.42,4609411.1,0.274737932,0.179549041,0.004079667,0.003362585,0.0383099494280213,2.80776e-08,
SEN,2018,66.86,16235617.09,0.152816259,0.020354101,0.027185748,0.00391707,0.05492737105031,6.27168e-08,0.7
MNE,2018,67.02,620275.28,0.13843461,0.012388924,0.006427545,0.005313673,0.0599074255301595,1.13538e-08,3.95
CHN,2018,66.53,1369607454.18,0.693456622,0.024035824,0.078259105,0.071157408,0.0542144354094085,9.21792e-08,4.59
MKD,2018,68.25,2097122.26,0.154896464,0.015477974,0.023437397,0.011835505,0.0554769522434883,1.30855e-08,4.56
BHR,2018,68.4,819823.3,0.244641569,0.028659793,0.037154104,0.036354004,0.0791460829476236,6.03781e-08,1.81
UKR,2018,69.09,41669953.03,0.140548218,0.004324642,0.00996713,0.011519058,0.0527706544430796,1.01915e-08,6.68
BGR,2018,68.55,7328899.48,0.1593532,0.012561881,0.027612024,0.012401364,0.0535233209833037,1.2287e-08,7.57
BGD,2018,69.08,161306674.55,0.735738248,0.048593268,0.021594055,0.028179338,0.0587163239249231,9.59046e-08,0.88
MLI,2018,70.12,19384388.66,0.167394382,0.062057234,0.000664788,0.003560685,0.0447656681544493,4.32453e-08,0.25
GEO,2018,70.45,3935033.98,0.133148062,0.017229966,0.005364079,0.006130135,0.0540038422044099,1.22457e-08,4.22
