Country_ISO,Year,DeathRate,Population (GPWv4.11),CO Population-Weighted (ppm),VOCs Population-Weighted (ppm),SO2 Population-Weighted (ppm),NOx Population-Weighted (ppm),O3 Population-Weighted (ppm),PM Pop.-Weighted (kg m^-3),HospitalBeds
ROU,2018,51.11,16.74372799434311,0.1472473894248663,0.009212157480130809,0.008106326771708762,0.012000790589382557,0.0529237077124506,1.1895499929248541e-08,2.0693912058263346
FSM,2018,52.48,10.420449013493128,0.0609189624939672,0.0007349968236457491,0.00014718916714305132,2.7199630086707746e-05,0.0475498044851104,5.768769983360646e-09,
VNM,2018,51.55,18.350501340886577,0.3245296780209684,0.04248353244130234,0.010173535644095571,0.016561680115556733,0.0562779087716958,4.657069891558498e-08,1.205970806988609
IRN,2018,51.76,18.217362707662605,0.318305762353515,0.03119898553144027,0.03818823898906697,0.04688828054431911,0.06385096304649,4.6500498918851785e-08,1.0750024230289759
GUY,2018,53.17,13.52762762534144,0.08474816944975186,0.03173528344335132,0.0003157331510424816,0.0001868295462733793,0.0491359302260822,1.6681199860868783e-08,0.9858167945227653
ZMB,2018,53.09,16.694499312377324,0.17461578847453738,0.05039109057405712,0.005758502950347354,0.004370166894941598,0.0448493588593087,1.8985599819773498e-08,1.0986122886681098
HTI,2018,53.57,16.169388723095846,0.13945857636434325,0.018283855919142424,0.0010813621171813876,0.0066988087959072495,0.0588330401038952,2.1192199775445332e-08,1.8389610707123492
BOL,2018,54.13,16.235002381882953,0.13243934530784912,0.13177879472163817,0.00035230193438511617,0.001866851348144516,0.0317009519781184,7.460369972171441e-09,0.8153648132841945
GAB,2018,55.57,14.374002657655614,0.17646516153879474,0.06029244335716119,0.0013507483285928688,0.0019870884314563647,0.0420011555709002,2.1304399773061274e-08,1.0818051703517284
LBY,2018,55.74,15.68723146848692,0.12634713705040282,0.008285357435050184,0.007234460073933536,0.009291515862420606,0.0649372831815,4.142979914178586e-08,1.4350845252893227
TUN,2018,56.07,16.21572447789435,0.17786534427766193,0.010854740563264834,0.019722711357888143,0.015705421671432507,0.0626572116128567,2.8660199589296475e-08,1.0367368849500223
ZWE,2018,56.76,16.625081115140805,0.17148275445853037,0.040624169194115545,0.003054487300363676,0.004812167925035438,0.0457213863378126,1.5622299877971873e-08,1.0420419371797154
IDN,2018,57.45,19.356852187721078,0.23604486630178007,0.05202030260302394,0.01999445301409725,0.014420716840753507,0.0551600796585743,3.5291999377237385e-08,0.7654678421395714
BWA,2018,58.2,14.669929252072123,0.12492921765443997,0.05009991369198411,0.005101957850812163,0.0036677824548336808,0.0512519635029288,6.240669980527019e-09,1.252762968495368
SLB,2018,58.84,13.015475829759728,0.05595501804959903,0.01786887841624697,0.00026957266202477624,5.329857960547113e-05,0.0433787325443826,7.073029974986124e-09,
VUT,2018,58.93,12.23494038379929,0.054611605697760156,0.0035226212779595804,0.0007665051598480947,0.00016686407741545184,0.0502560455337036,8.185519966498631e-09,
TLS,2018,59.15,14.030998358661398,0.10265457269414208,0.03293649432426485,0.0005009245163627179,0.0007195960286632428,0.0489649561200789,1.0430399945603379e-08,0.35065687161316933
LBN,2018,58.65,15.373091554047907,0.26876165514890327,0.010258753583017501,0.03625354719777705,0.03429437847579654,0.0609776752953191,3.9586199216466405e-08,1.3164082336557241
KHM,2018,59.13,16.603352727615285,0.2050864311896329,0.07240754431683971,0.005196801206741439,0.006975139059053398,0.0509318313027765,2.7197099630158883e-08,0.5481214085096876
AGO,2018,60.18,17.105431208367683,0.21076557041377222,0.06443877116270784,0.0021619493025285454,0.005418668462955186,0.0477316272305844,2.467259969563141e-08,
CPV,2018,60.0,13.029358043401066,0.08317196612553199,0.0009251649029412373,0.0005239637070390571,0.0003626572319158861,0.0626641422494447,3.045289953631045e-08,1.1600209167967532
MDG,2018,60.22,17.078412152803082,0.1297045015337467,0.040260871039916754,0.000622390274984032,0.0027905986551078057,0.043409610625643,1.1151099937826485e-08,0.2795238847503174
MAR,2018,60.05,17.393438352565596,0.1669869800270851,0.017514892818238717,0.015946984240436387,0.014036225669978624,0.06012562248168,1.977229980452808e-08,0.5364933705145685
BTN,2018,59.99,13.780580764035568,0.38266462882068136,0.05025183540736528,0.005958263243035496,0.009991791379807184,0.0592033781762213,3.7169899309199285e-08,1.000631880307906
MYS,2018,60.22,17.216120683558668,0.22299322401562757,0.10297454429062727,0.007866186274446116,0.016116226155346806,0.0546307438889459,2.7265399628298988e-08,1.0647107369924282
DJI,2018,60.76,13.630552364296223,0.13233957681912906,0.005913255194439454,0.0021728785885518306,0.0030436394266943833,0.0599220431683611,2.9222399573025677e-08,0.8754687373538999
